[22:58:41] port 6: pod4, UPCALL packets:169 errors:0
[22:58:41] port 7: pod5, UPCALL packets:179 errors:0
[22:58:41] port 8: pod6, UPCALL packets:380 errors:0
[22:58:41] port 9: pod7, UPCALL packets:340 errors:0
[22:58:41] port 10: pod8, UPCALL packets:212 errors:0
[22:58:42] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:42] port 1: br-int, UPCALL packets:0 errors:0
[22:58:42] port 2: ens16f1np1, UPCALL packets:1469323 errors:1545
[22:58:42] port 3: pod1, UPCALL packets:121 errors:0
[22:58:42] port 4: pod2, UPCALL packets:78 errors:0
[22:58:42] port 5: pod3, UPCALL packets:141 errors:0
[22:58:42] port 6: pod4, UPCALL packets:169 errors:0
[22:58:42] port 7: pod5, UPCALL packets:179 errors:0
[22:58:42] port 8: pod6, UPCALL packets:380 errors:0
[22:58:42] port 9: pod7, UPCALL packets:340 errors:0
[22:58:42] port 10: pod8, UPCALL packets:213 errors:0
[22:58:43] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:43] port 1: br-int, UPCALL packets:0 errors:0
[22:58:43] port 2: ens16f1np1, UPCALL packets:1531045 errors:1545
[22:58:43] port 3: pod1, UPCALL packets:121 errors:0
[22:58:43] port 4: pod2, UPCALL packets:78 errors:0
[22:58:43] port 5: pod3, UPCALL packets:141 errors:0
[22:58:43] port 6: pod4, UPCALL packets:169 errors:0
[22:58:43] port 7: pod5, UPCALL packets:179 errors:0
[22:58:43] port 8: pod6, UPCALL packets:380 errors:0
[22:58:43] port 9: pod7, UPCALL packets:340 errors:0
[22:58:43] port 10: pod8, UPCALL packets:213 errors:0
[22:58:44] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:44] port 1: br-int, UPCALL packets:0 errors:0
[22:58:44] port 2: ens16f1np1, UPCALL packets:1586753 errors:1545
[22:58:44] port 3: pod1, UPCALL packets:121 errors:0
[22:58:44] port 4: pod2, UPCALL packets:78 errors:0
[22:58:44] port 5: pod3, UPCALL packets:141 errors:0
[22:58:44] port 6: pod4, UPCALL packets:169 errors:0
[22:58:44] port 7: pod5, UPCALL packets:179 errors:0
[22:58:44] port 8: pod6, UPCALL packets:380 errors:0
[22:58:44] port 9: pod7, UPCALL packets:340 errors:0
[22:58:44] port 10: pod8, UPCALL packets:213 errors:0
[22:58:45] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:45] port 1: br-int, UPCALL packets:0 errors:0
[22:58:45] port 2: ens16f1np1, UPCALL packets:1633851 errors:1545
[22:58:45] port 3: pod1, UPCALL packets:121 errors:0
[22:58:45] port 4: pod2, UPCALL packets:78 errors:0
[22:58:45] port 5: pod3, UPCALL packets:141 errors:0
[22:58:45] port 6: pod4, UPCALL packets:169 errors:0
[22:58:45] port 7: pod5, UPCALL packets:179 errors:0
[22:58:45] port 8: pod6, UPCALL packets:380 errors:0
[22:58:45] port 9: pod7, UPCALL packets:340 errors:0
[22:58:45] port 10: pod8, UPCALL packets:213 errors:0
[22:58:46] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:46] port 1: br-int, UPCALL packets:0 errors:0
[22:58:46] port 2: ens16f1np1, UPCALL packets:1698285 errors:1545
[22:58:46] port 3: pod1, UPCALL packets:121 errors:0
[22:58:46] port 4: pod2, UPCALL packets:78 errors:0
[22:58:46] port 5: pod3, UPCALL packets:141 errors:0
[22:58:46] port 6: pod4, UPCALL packets:169 errors:0
[22:58:46] port 7: pod5, UPCALL packets:179 errors:0
[22:58:46] port 8: pod6, UPCALL packets:380 errors:0
[22:58:46] port 9: pod7, UPCALL packets:340 errors:0
[22:58:46] port 10: pod8, UPCALL packets:213 errors:0
[22:58:47] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:47] port 1: br-int, UPCALL packets:0 errors:0
[22:58:47] port 2: ens16f1np1, UPCALL packets:1758525 errors:1545
[22:58:47] port 3: pod1, UPCALL packets:121 errors:0
[22:58:47] port 4: pod2, UPCALL packets:78 errors:0
[22:58:47] port 5: pod3, UPCALL packets:141 errors:0
[22:58:47] port 6: pod4, UPCALL packets:169 errors:0
[22:58:47] port 7: pod5, UPCALL packets:179 errors:0
[22:58:47] port 8: pod6, UPCALL packets:380 errors:0
[22:58:47] port 9: pod7, UPCALL packets:340 errors:0
[22:58:47] port 10: pod8, UPCALL packets:213 errors:0
[22:58:48] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:48] port 1: br-int, UPCALL packets:0 errors:0
[22:58:48] port 2: ens16f1np1, UPCALL packets:1822675 errors:1545
[22:58:48] port 3: pod1, UPCALL packets:121 errors:0
[22:58:48] port 4: pod2, UPCALL packets:78 errors:0
[22:58:48] port 5: pod3, UPCALL packets:141 errors:0
[22:58:48] port 6: pod4, UPCALL packets:169 errors:0
[22:58:48] port 7: pod5, UPCALL packets:179 errors:0
[22:58:48] port 8: pod6, UPCALL packets:380 errors:0
[22:58:48] port 9: pod7, UPCALL packets:340 errors:0
