Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

12:04:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:27 AM   10   51.00    0.00   29.00    0.00    1.00    8.00    0.00    0.00    0.00   11.00
12:04:27 AM   11   51.49    0.00   26.73    0.00    0.99    8.91    0.00    0.00    0.00   11.88
12:04:27 AM   12   54.46    0.00   25.74    0.00    0.99    8.91    0.00    0.00    0.00    9.90
12:04:27 AM   13   56.00    0.00   28.00    0.00    0.00    9.00    0.00    0.00    0.00    7.00
12:04:27 AM   14   54.55    0.00   26.26    0.00    1.01    9.09    0.00    0.00    0.00    9.09
12:04:27 AM   15   46.46    0.00   25.25    0.00    1.01   10.10    0.00    0.00    0.00   17.17

12:04:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:28 AM  all   52.66    0.00   24.39    0.00    0.13    9.40    0.00    0.00    0.00   13.42
12:04:28 AM    0   55.88    0.00   21.57    0.00    0.98    6.86    0.00    0.00    0.00   14.71
12:04:28 AM    1   53.54    0.00   26.26    0.00    0.00    8.08    0.00    0.00    0.00   12.12
12:04:28 AM    2   46.00    0.00   22.00    0.00    0.00    9.00    0.00    0.00    0.00   23.00
12:04:28 AM    3   51.00    0.00   24.00    0.00    0.00    9.00    0.00    0.00    0.00   16.00
12:04:28 AM    4   56.12    0.00   22.45    0.00    0.00    8.16    0.00    0.00    0.00   13.27
12:04:28 AM    5   59.60    0.00   28.28    0.00    0.00    9.09    0.00    0.00    0.00    3.03
12:04:28 AM    6   47.47    0.00   22.22    0.00    0.00   11.11    0.00    0.00    0.00   19.19
12:04:28 AM    7   50.00    0.00   25.00    0.00    0.00   10.00    0.00    0.00    0.00   15.00
12:04:28 AM    8   50.51    0.00   24.24    0.00    0.00    9.09    0.00    0.00    0.00   16.16
12:04:28 AM    9   54.46    0.00   27.72    0.00    0.00    8.91    0.00    0.00    0.00    8.91
12:04:28 AM   10   57.00    0.00   25.00    0.00    0.00   10.00    0.00    0.00    0.00    8.00
12:04:28 AM   11   53.00    0.00   25.00    0.00    0.00   11.00    0.00    0.00    0.00   11.00
12:04:28 AM   12   59.00    0.00   28.00    0.00    0.00    9.00    0.00    0.00    0.00    4.00
12:04:28 AM   13   46.46    0.00   21.21    0.00    1.01    9.09    0.00    0.00    0.00   22.22
12:04:28 AM   14   47.00    0.00   22.00    0.00    0.00   13.00    0.00    0.00    0.00   18.00
12:04:28 AM   15   55.56    0.00   25.25    0.00    0.00    9.09    0.00    0.00    0.00   10.10

12:04:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:29 AM  all   51.66    0.00   22.49    0.00    0.75    9.56    0.00    0.00    0.00   15.55
12:04:29 AM    0   45.92    0.00   19.39    0.00    0.00    9.18    0.00    0.00    0.00   25.51
12:04:29 AM    1   50.50    0.00   22.77    0.00    0.99    8.91    0.00    0.00    0.00   16.83
12:04:29 AM    2   49.49    0.00   19.19    0.00    1.01   10.10    0.00    0.00    0.00   20.20
12:04:29 AM    3   51.00    0.00   23.00    0.00    1.00    7.00    0.00    0.00    0.00   18.00
