Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

01:26:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:50 AM    9   50.50    0.00   21.78    0.00    0.99    8.91    0.00    0.00    0.00   17.82
01:26:50 AM   10   45.00    0.00   21.00    0.00    1.00   11.00    0.00    0.00    0.00   22.00
01:26:50 AM   11   48.00    0.00   18.00    0.00    1.00   11.00    0.00    0.00    0.00   22.00
01:26:50 AM   12   52.48    0.00   21.78    0.00    0.99   11.88    0.00    0.00    0.00   12.87
01:26:50 AM   13   47.00    0.00   20.00    0.00    0.00   13.00    0.00    0.00    0.00   20.00
01:26:50 AM   14   48.51    0.00   20.79    0.00    0.99   11.88    0.00    0.00    0.00   17.82
01:26:50 AM   15   45.45    0.00   19.19    0.00    1.01   13.13    0.00    0.00    0.00   21.21

01:26:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:51 AM  all   48.50    0.00   20.50    0.00    0.50   12.44    0.00    0.00    0.00   18.06
01:26:51 AM    0   52.00    0.00   23.00    0.00    1.00   13.00    0.00    0.00    0.00   11.00
01:26:51 AM    1   30.00    0.00   15.00    0.00    1.00   19.00    0.00    0.00    0.00   35.00
01:26:51 AM    2   51.00    0.00   24.00    0.00    1.00   12.00    0.00    0.00    0.00   12.00
01:26:51 AM    3   52.48    0.00   20.79    0.00    0.99   15.84    0.00    0.00    0.00    9.90
01:26:51 AM    4   51.00    0.00   24.00    0.00    1.00   13.00    0.00    0.00    0.00   11.00
01:26:51 AM    5   67.33    0.00   23.76    0.00    0.00    2.97    0.00    0.00    0.00    5.94
01:26:51 AM    6   57.00    0.00   17.00    0.00    1.00   14.00    0.00    0.00    0.00   11.00
01:26:51 AM    7   41.00    0.00   15.00    0.00    1.00   14.00    0.00    0.00    0.00   29.00
01:26:51 AM    8   45.54    0.00   19.80    0.00    0.00   13.86    0.00    0.00    0.00   20.79
01:26:51 AM    9   46.00    0.00   21.00    0.00    0.00   10.00    0.00    0.00    0.00   23.00
01:26:51 AM   10   40.40    0.00   16.16    0.00    0.00   12.12    0.00    0.00    0.00   31.31
01:26:51 AM   11   45.00    0.00   21.00    0.00    0.00   13.00    0.00    0.00    0.00   21.00
01:26:51 AM   12   53.00    0.00   22.00    0.00    0.00   13.00    0.00    0.00    0.00   12.00
01:26:51 AM   13   54.00    0.00   22.00    0.00    1.00   12.00    0.00    0.00    0.00   11.00
01:26:51 AM   14   42.86    0.00   21.43    0.00    0.00   11.22    0.00    0.00    0.00   24.49
01:26:51 AM   15   47.00    0.00   22.00    0.00    0.00   10.00    0.00    0.00    0.00   21.00

01:26:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:52 AM  all   47.52    0.00   19.59    0.00    0.13   12.18    0.00    0.00    0.00   20.59
01:26:52 AM    0   48.48    0.00   21.21    0.00    0.00   13.13    0.00    0.00    0.00   17.17
01:26:52 AM    1   26.00    0.00   11.00    0.00    0.00   24.00    0.00    0.00    0.00   39.00
01:26:52 AM    2   53.00    0.00   21.00    0.00    0.00   11.00    0.00    0.00    0.00   15.00
01:26:52 AM    3   53.54    0.00   22.22    0.00    0.00   10.10    0.00    0.00    0.00   14.14
01:26:52 AM    4   49.00    0.00   22.00    0.00    0.00   13.00    0.00    0.00    0.00   16.00
01:26:52 AM    5   64.00    0.00   21.00    0.00    1.00    2.00    0.00    0.00    0.00   12.00
01:26:52 AM    6   50.51    0.00   22.22    0.00    0.00   12.12    0.00    0.00    0.00   15.15
01:26:52 AM    7   46.46    0.00   19.19    0.00    0.00   13.13    0.00    0.00    0.00   21.21
01:26:52 AM    8   35.35    0.00   14.14    0.00    0.00   12.12    0.00    0.00    0.00   38.38
01:26:52 AM    9   41.00    0.00   16.00    0.00    1.00   12.00    0.00    0.00    0.00   30.00
01:26:52 AM   10   50.00    0.00   23.00    0.00    0.00   10.00    0.00    0.00    0.00   17.00
01:26:52 AM   11   48.00    0.00   20.00    0.00    0.00   10.00    0.00    0.00    0.00   22.00
01:26:52 AM   12   57.00    0.00   22.00    0.00    0.00   13.00    0.00    0.00    0.00    8.00
01:26:52 AM   13   53.06    0.00   22.45    0.00    0.00   11.22    0.00    0.00    0.00   13.27
01:26:52 AM   14   41.00    0.00   17.00    0.00    0.00   14.00    0.00    0.00    0.00   28.00
01:26:52 AM   15   44.00    0.00   19.00    0.00    0.00   14.00    0.00    0.00    0.00   23.00

01:26:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:53 AM  all   47.72    0.00   19.71    0.00    0.56   13.16    0.00    0.00    0.00   18.84
01:26:53 AM    0   50.00    0.00   20.00    0.00    0.00   13.00    0.00    0.00    0.00   17.00
01:26:53 AM    1   23.76    0.00   13.86    0.00    0.00   26.73    0.00    0.00    0.00   35.64
01:26:53 AM    2   52.53    0.00   21.21    0.00    1.01   11.11    0.00    0.00    0.00   14.14
01:26:53 AM    3   52.53    0.00   22.22    0.00    0.00   13.13    0.00    0.00    0.00   12.12
01:26:53 AM    4   56.00    0.00   22.00    0.00    1.00   12.00    0.00    0.00    0.00    9.00
01:26:53 AM    5   69.70    0.00   20.20    0.00    0.00    2.02    0.00    0.00    0.00    8.08
01:26:53 AM    6   51.49    0.00   21.78    0.00    0.99   12.87    0.00    0.00    0.00   12.87
01:26:53 AM    7   50.50    0.00   19.80    0.00    0.00   12.87    0.00    0.00    0.00   16.83
01:26:53 AM    8   40.59    0.00   20.79    0.00    0.99   11.88    0.00    0.00    0.00   25.74
01:26:53 AM    9   47.47    0.00   19.19    0.00    0.00   12.12    0.00    0.00    0.00   21.21
01:26:53 AM   10   47.00    0.00   19.00    0.00    1.00   11.00    0.00    0.00    0.00   22.00
01:26:53 AM   11   42.00    0.00   19.00    0.00    1.00   15.00    0.00    0.00    0.00   23.00
01:26:53 AM   12   47.52    0.00   19.80    0.00    0.99   13.86    0.00    0.00    0.00   17.82
01:26:53 AM   13   50.50    0.00   21.78    0.00    0.00   13.86    0.00    0.00    0.00   13.86
01:26:53 AM   14   35.64    0.00   15.84    0.00    0.99   13.86    0.00    0.00    0.00   33.66
01:26:53 AM   15   47.00    0.00   19.00    0.00    1.00   15.00    0.00    0.00    0.00   18.00

01:26:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:54 AM  all   48.12    0.00   20.85    0.00    0.38   14.82    0.00    0.00    0.00   15.83
01:26:54 AM    0   54.00    0.00   24.00    0.00    1.00   12.00    0.00    0.00    0.00    9.00
01:26:54 AM    1   33.33    0.00   16.16    0.00    1.01   24.24    0.00    0.00    0.00   25.25
01:26:54 AM    2   49.00    0.00   24.00    0.00    0.00   15.00    0.00    0.00    0.00   12.00
01:26:54 AM    3   48.51    0.00   22.77    0.00    0.99   14.85    0.00    0.00    0.00   12.87
01:26:54 AM    4   49.49    0.00   23.23    0.00    0.00   14.14    0.00    0.00    0.00   13.13
01:26:54 AM    5   70.00    0.00   22.00    0.00    1.00    2.00    0.00    0.00    0.00    5.00
01:26:54 AM    6   52.53    0.00   26.26    0.00    0.00   14.14    0.00    0.00    0.00    7.07
01:26:54 AM    7   47.00    0.00   19.00    0.00    1.00   18.00    0.00    0.00    0.00   15.00
01:26:54 AM    8   49.00    0.00   19.00    0.00    0.00   14.00    0.00    0.00    0.00   18.00
01:26:54 AM    9   46.46    0.00   19.19    0.00    0.00   15.15    0.00    0.00    0.00   19.19
01:26:54 AM   10   41.41    0.00   14.14    0.00    0.00   17.17    0.00    0.00    0.00   27.27
01:26:54 AM   11   43.56    0.00   19.80    0.00    0.00   15.84    0.00    0.00    0.00   20.79
